size,density,noise_level,negative_values,algorithm,negative_cycle,seconds,total_pairs,reachable_pairs,reachable_ratio,positive_pairs,positive_ratio,neg_inf_pairs,mean,median,min,max
20,0.5,0.0,False,dijkstra,False,0.0009301999816671014,380,380,1.0,380,1.0,0,596.5684210526316,620.5,25.0,1119.0
20,0.5,0.0,True,bellman-ford,False,0.0011393000604584813,380,380,1.0,380,1.0,0,596.5684210526316,620.5,25.0,1119.0
20,0.5,0.1,False,dijkstra,False,0.0009421999566257,380,380,1.0,380,1.0,0,676.5,706.0,104.0,1142.0
20,0.5,0.1,True,bellman-ford,False,0.001213400042615831,380,380,1.0,380,1.0,0,580.6763157894737,611.0,26.0,1000.0
20,0.5,0.5,False,dijkstra,False,0.0009507000213488936,380,380,1.0,380,1.0,0,946.2052631578947,977.0,186.0,1709.0
20,0.5,0.5,True,bellman-ford,True,0.00012530002277344465,0,0,0.0,0,0.0,0,nan,nan,nan,nan
20,0.5,0.8,False,dijkstra,False,0.0009683000389486551,380,380,1.0,380,1.0,0,1120.2368421052631,1152.0,232.0,2128.0
20,0.5,0.8,True,bellman-ford,True,0.00011140003334730864,0,0,0.0,0,0.0,0,nan,nan,nan,nan
20,0.8,0.0,False,dijkstra,False,0.0023990001063793898,380,380,1.0,380,1.0,0,546.4657894736843,573.5,25.0,1038.0
20,0.8,0.0,True,bellman-ford,False,0.002643599989823997,380,380,1.0,380,1.0,0,546.4657894736843,573.5,25.0,1038.0
20,0.8,0.1,False,dijkstra,False,0.0023803000804036856,380,380,1.0,380,1.0,0,604.7052631578947,617.5,78.0,1101.0
20,0.8,0.1,True,bellman-ford,False,0.003448600065894425,380,380,1.0,379,0.9973684210526316,0,503.2657894736842,518.5,-18.0,963.0
20,0.8,0.5,False,dijkstra,False,0.0014479999663308263,380,380,1.0,380,1.0,0,806.7789473684211,818.5,94.0,1412.0
20,0.8,0.5,True,bellman-ford,True,7.830001413822174e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
20,0.8,0.8,False,dijkstra,False,0.0013138999929651618,380,380,1.0,380,1.0,0,935.3657894736842,949.5,106.0,1760.0
20,0.8,0.8,True,bellman-ford,True,5.7900091633200645e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
20,1.0,0.0,False,dijkstra,False,0.0015291000017896295,380,380,1.0,380,1.0,0,536.2052631578947,567.5,25.0,1038.0
20,1.0,0.0,True,bellman-ford,False,0.0016654999926686287,380,380,1.0,380,1.0,0,536.2052631578947,567.5,25.0,1038.0
20,1.0,0.1,False,dijkstra,False,0.0015263999812304974,380,380,1.0,380,1.0,0,583.1578947368421,608.5,78.0,1083.0
20,1.0,0.1,True,bellman-ford,False,0.0022752999793738127,380,380,1.0,379,0.9973684210526316,0,478.65,499.0,-18.0,963.0
20,1.0,0.5,False,dijkstra,False,0.0015225999522954226,380,380,1.0,380,1.0,0,746.8763157894737,759.0,94.0,1252.0
20,1.0,0.5,True,bellman-ford,True,6.10999995842576e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
20,1.0,0.8,False,dijkstra,False,0.001550900051370263,380,380,1.0,380,1.0,0,853.1394736842105,870.0,106.0,1423.0
20,1.0,0.8,True,bellman-ford,True,5.45999500900507e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.2,0.0,False,dijkstra,False,0.0061114999698475,2450,2450,1.0,2450,1.0,0,744.0367346938775,750.0,27.0,1546.0
50,0.2,0.0,True,bellman-ford,False,0.007910599932074547,2450,2450,1.0,2450,1.0,0,744.0367346938775,750.0,27.0,1546.0
50,0.2,0.1,False,dijkstra,False,0.006048199953511357,2450,2450,1.0,2450,1.0,0,845.1297959183673,856.0,70.0,1695.0
50,0.2,0.1,True,bellman-ford,False,0.008313700091093779,2450,2450,1.0,2450,1.0,0,709.6677551020408,721.0,3.0,1583.0
50,0.2,0.5,False,dijkstra,False,0.005900199990719557,2450,2450,1.0,2450,1.0,0,1178.462857142857,1204.0,148.0,2154.0
50,0.2,0.5,True,bellman-ford,True,0.00031379994470626116,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.2,0.8,False,dijkstra,False,0.005942400079220533,2450,2450,1.0,2450,1.0,0,1390.9187755102041,1422.5,193.0,2569.0
50,0.2,0.8,True,bellman-ford,True,0.0002256000880151987,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.5,0.0,False,dijkstra,False,0.012806499958969653,2450,2450,1.0,2450,1.0,0,528.1967346938776,524.0,21.0,1243.0
50,0.5,0.0,True,bellman-ford,False,0.013255099998787045,2450,2450,1.0,2450,1.0,0,528.1967346938776,524.0,21.0,1243.0
50,0.5,0.1,False,dijkstra,False,0.012438199948519468,2450,2450,1.0,2450,1.0,0,597.1155102040816,595.0,42.0,1288.0
50,0.5,0.1,True,bellman-ford,False,0.019103100057691336,2450,2450,1.0,2444,0.9975510204081632,0,458.60979591836735,456.5,-71.0,1050.0
50,0.5,0.5,False,dijkstra,False,0.012759799952618778,2450,2450,1.0,2450,1.0,0,807.0567346938775,816.0,50.0,1536.0
50,0.5,0.5,True,bellman-ford,True,0.00017550005577504635,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.5,0.8,False,dijkstra,False,0.012873100000433624,2450,2450,1.0,2450,1.0,0,935.6689795918368,954.5,56.0,1746.0
50,0.5,0.8,True,bellman-ford,True,8.25000461190939e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.8,0.0,False,dijkstra,False,0.01804910006467253,2450,2450,1.0,2450,1.0,0,502.74448979591835,494.0,13.0,1242.0
50,0.8,0.0,True,bellman-ford,False,0.01831389998551458,2450,2450,1.0,2450,1.0,0,502.74448979591835,494.0,13.0,1242.0
50,0.8,0.1,False,dijkstra,False,0.018709999974817038,2450,2450,1.0,2450,1.0,0,552.9383673469388,542.5,41.0,1278.0
50,0.8,0.1,True,bellman-ford,True,0.0003394000232219696,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.8,0.5,False,dijkstra,False,0.018869200022891164,2450,2450,1.0,2450,1.0,0,709.433469387755,707.0,50.0,1427.0
50,0.8,0.5,True,bellman-ford,True,0.00018159998580813408,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,0.8,0.8,False,dijkstra,False,0.019237599917687476,2450,2450,1.0,2450,1.0,0,806.0734693877552,811.0,56.0,1563.0
50,0.8,0.8,True,bellman-ford,True,0.00012590002734214067,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,1.0,0.0,False,dijkstra,False,0.02216189994942397,2450,2450,1.0,2450,1.0,0,498.5640816326531,493.0,13.0,1242.0
50,1.0,0.0,True,bellman-ford,False,0.02222709998022765,2450,2450,1.0,2450,1.0,0,498.5640816326531,493.0,13.0,1242.0
50,1.0,0.1,False,dijkstra,False,0.021999799995683134,2450,2450,1.0,2450,1.0,0,540.6812244897959,533.0,41.0,1278.0
50,1.0,0.1,True,bellman-ford,True,0.0004879999905824661,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,1.0,0.5,False,dijkstra,False,0.022908000042662024,2450,2450,1.0,2450,1.0,0,672.8738775510204,665.0,50.0,1374.0
50,1.0,0.5,True,bellman-ford,True,0.00020320003386586905,0,0,0.0,0,0.0,0,nan,nan,nan,nan
50,1.0,0.8,False,dijkstra,False,0.023184399935416877,2450,2450,1.0,2450,1.0,0,755.7138775510205,758.0,56.0,1474.0
50,1.0,0.8,True,bellman-ford,True,0.00015510001685470343,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.2,0.0,False,dijkstra,False,0.04418710002209991,9900,9900,1.0,9900,1.0,0,609.8727272727273,616.0,13.0,1250.0
100,0.2,0.0,True,bellman-ford,False,0.05209630005992949,9900,9900,1.0,9900,1.0,0,609.8727272727273,616.0,13.0,1250.0
100,0.2,0.1,False,dijkstra,False,0.042850099969655275,9900,9900,1.0,9900,1.0,0,712.0119191919192,724.0,37.0,1412.0
100,0.2,0.1,True,bellman-ford,False,0.06304239993914962,9900,9900,1.0,9891,0.9990909090909091,0,553.0583838383839,561.0,-51.0,1183.0
100,0.2,0.5,False,dijkstra,False,0.042318299994803965,9900,9900,1.0,9900,1.0,0,1023.319898989899,1047.0,66.0,1875.0
100,0.2,0.5,True,bellman-ford,True,0.0004885999951511621,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.2,0.8,False,dijkstra,False,0.04404179996345192,9900,9900,1.0,9900,1.0,0,1213.6675757575758,1242.0,72.0,2325.0
100,0.2,0.8,True,bellman-ford,True,0.0003003000747412443,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.5,0.0,False,dijkstra,False,0.09486030007246882,9900,9900,1.0,9900,1.0,0,524.030101010101,512.0,13.0,1242.0
100,0.5,0.0,True,bellman-ford,False,0.09279080003034323,9900,9900,1.0,9900,1.0,0,524.030101010101,512.0,13.0,1242.0
100,0.5,0.1,False,dijkstra,False,0.09630910004489124,9900,9900,1.0,9900,1.0,0,585.8625252525253,578.5,28.0,1282.0
100,0.5,0.1,True,bellman-ford,True,0.0009664999088272452,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.5,0.5,False,dijkstra,False,0.09272149996832013,9900,9900,1.0,9900,1.0,0,759.680909090909,770.0,66.0,1462.0
100,0.5,0.5,True,bellman-ford,True,0.00034439994487911463,0,0,0.0,0,0.0,0,nan,nan,nan,nan
100,0.5,0.8,False,dijkstra,False,0.0981688000028953,9900,9900,1.0,9900,1.0,0,862.5110101010101,877.5,72.0,1586.0
100,0.5,0.8,True,bellman-ford,True,0.0002058000536635518,0,0,0.0,0,0.0,0,nan,nan,nan,nan
